Player,Salary
Luka Doncic,43031940
Trae Young,43031940
Anthony Edwards,42176400
Tyrese Haliburton,42176400
Lauri Markkanen,42176400
Ben Simmons,40011909
Zion Williamson,36725670
Ja Morant,36725670
Darius Garland,36725670
OG Anunoby,36637932
Shai Gilgeous-Alexander,35859950
Michael Porter Jr.,35859950
Donovan Mitchell,35410310
Tyrese Maxey,35147000
LaMelo Ball,35147000
Jayson Tatum,34848340
Bam Adebayo,34848340
De'Aaron Fox,34848340
Desmond Bane,34005250
Deandre Ayton,34005126
CJ McCollum,33333333
Immanuel Quickley,32500000
Isaiah Hartenstein,30000000
Jordan Poole,29651786
Devin Vassell,29347826
Tyler Herro,29000000
Nic Claxton,27556817
Miles Bridges,27173913
John Collins,26580000
Anfernee Simons,25892857
RJ Barrett,25794643
Jaren Jackson Jr.,25257798
Jonathan Isaac,25000000
Jalen Brunson,24960001
Kyle Kuzma,24456061
Mikal Bridges,23300000
Jaden McDaniels,23017242
Bruce Brown,23000000
Cameron Johnson,22500000
Dillon Brooks,22255493
De'Andre Hunter,21696429
Lonzo Ball,21395348
Derrick White,20071429
Jarrett Allen,20000000
Duncan Robinson,19406000
Bojan BogdanoviÄ‡,19032850
Keldon Johnson,19000000
Collin Sexton,18350000
Josh Hart,18144000
Patrick Williams,18000000
Malik Monk,17405203
Bogdan Bogdanovic,17260000
Rui Hachimura,17000000
Kevin Huerter,16830357
Zach Collins,16741200
Luguentz Dort,16500000
Deni Avdija,15625000
Grayson Allen,15625000
P.J. Washington,15500000
Max Strus,15212068
Isaiah Stewart,15000000
Mitchell Robinson,14318182
Onyeka Okongwu,14000000
Naz Reid,13986432
Cade Cunningham,13940809
Daniel Gafford,13394160
Grant Williams,13025250
Isaiah Joe,12991650
Herbert Jones,12976362
Austin Reaves,12976362
Obi Toppin,12975000
Cole Anthony,12900000
De'Anthony Melton,12822000
Victor Wembanyama,12768960
Josh Green,12654321
Zaccharie Risacher,12569040
Brandon Clarke,12500000
Marvin Bagley III,12500000
Jalen Green,12483048
Robert Williams,12428571
Paolo Banchero,12160800
Coby White,12000000
Wendell Carter Jr.,11950000
Donte DiVincenzo,11445000
Brandon Miller,11424600
Terance Mann,11423077
Alex Sarr,11245680
Evan Mobley,11227657
Matisse Thybulle,11025000
Aaron Nesmith,11000000
Gabe Vincent,11000000
Maxi Kleber,11000000
Moritz Wagner,11000000
Chet Holmgren,10880640
Chris Boucher,10810000
Jarred Vanderbilt,10714286
Aaron Wiggins,10514017
Scoot Henderson,10259160
Isaac Okoro,10185186
Scottie Barnes,10130980
Reed Sheppard,10098960
Alex Caruso,9890000
Jabari Smith Jr.,9770880
Royce O'Neale,9375000
Luke Kennard,9250000
Amen Thompson,9249960
Jalen Suggs,9188385
Caleb Martin,9186594
Stephon Castle,9105120
Tre Jones,9104167
Goga Bitadze,9057971
Zeke Nnaji,8888889
Keegan Murray,8809560
Naji Marshall,8571429
Jalen Smith,8571429
Ausar Thompson,8376000
Josh Giddey,8352367
Josh Okogie,8250000
Ron Holland,8245320
Cody Martin,8120000
Jock Landale,8000000
Jaden Ivey,7977240
KJ Martin,7975000
Vasilije Micic,7723000
Simone Fontecchio,7692308
Jonathan Kuminga,7636307
Anthony Black,7607760
Jae'Sean Tate,7565217
Tidjane Salaun,7488720
Bennedict Mathurin,7245720
Max Christie,7142857
Franz Wagner,7007092
Ayo Dosunmu,7000000
Bilal Coulibaly,6945240
Donovan Clingan,6836400
Payton Pritchard,6696429
Kenrich Williams,6669000
Shaedon Sharpe,6614160
Jevon Carter,6500000
Davion Mitchell,6451077
Saddiq Bey,6440678
Jarace Walker,6362520
Rob Dillingham,6262920
Dean Wade,6166667
John Konchar,6165000
Ziaire Williams,6133005
Dyson Daniels,6059520
Precious Achiuwa,6000000
Chris Duarte,5893768
Taylor Hendricks,5848680
Moses Moody,5803269
Zach Edey,5756880
Corey Kispert,5705887
Jeremy Sochan,5570040
Cason Wallace,5555880
Cody Williams,5469120
Alperen Sengun,5424654
Johnny Davis,5291160
Jett Howard,5278320
Haywood Highsmith,5200000
Matas Buzelis,5195520
Trey Murphy III,5159854
Ousmane Dieng,5027040
Dereck Lively II,5014560
Nick Richards,5000000
Drew Eubanks,5000000
Nikola Topic,4935960
Tre Mann,4908373
Jalen Williams,4775760
Gradey Dick,4763760
Jalen McDaniels,4861772
Miles McBride,4710144
Devin Carter,4689000
Aaron Holiday,4668000
Jalen Duren,4536840
Jordan Hawkins,4525680
Jalen Johnson,4510905
Bub Carrington,4454880
Isaiah Jackson,4435381
Nickeil Alexander-Walker,4312500
Ochai Agbaji,4310280
Kobe Bufkin,4299000
Quentin Grimes,4296682
Kel'el Ware,4231800
Bones Hyland,4158439
Mark Williams,4094280
Keyonte George,4084200
Cam Thomas,4041249
Jared McCain,4020360
Jaden Springer,4772772
Day'Ron Sharpe,3989122
Santi Aldama,3960531
Amir Coffey,3938271
Jalen Hood-Schifino,3879840
Dalton Knecht,3819120
Tari Eason,3695160
Jaime Jaquez Jr.,3685800
Tristan Da Silva,3628440
Brandin Podziemski,3519960
Dalen Terry,3510480
Svi Mykhailiuk,3500000
Ja'Kobe Walter,3465000
Cam Whitmore,3379080
Jake LaRavia,3352680
Jaylon Tyson,3326160
Noah Clowney,3244080
Malaki Branham,3217920
Yves Missi,3193200
Dariq Whitehead,3114240
Nassir Little,3107143
Christian Braun,3089640
Johnny Juzang,3087519
DaRon Holmes,3065640
Kyle Filipowski,3000000
Julian Champagnie,3000000
Ajay Mitchell,3000000
Kris Murray,2990040
Walker Kessler,2965920
Shake Milton,2875000
Olivier-Maxence Prosper,2870400
David Roddy,2967212
Torrey Craig,3625162
Kyshawn George,2825520
AJ Johnson,2795294
Marcus Sasser,2755080
MarJon Beauchamp,2733720
Trendon Watford,2726603
Ben Sheppard,2663880
Keita Bates-Diop,2654644
Blake Wesley,2624280
Dillon Jones,2622360
Nick Smith Jr.,2587200
Brice Sensabaugh,2571480
Ty Jerome,2560975
Julian Strawther,2552520
Terrence Shannon Jr.,2546640
Wendell Moore Jr.,2537040
Kobe Brown,2533920
Ryan Dunn,2530800
Isaiah Collier,2512680
Baylor Scheierman,2494320
Paul Reed,3913234
Nikola Jovic,2464200
Cam Reddish,2463946
Jaxson Hayes,2463946
Patrick Baldwin Jr.,2448840
DaQuan Jeffries,2425404
Peyton Watson,2413560
Kevin Porter Jr.,3366937
Charlie Brown Jr.,2237692
Xavier Tillman Sr.,2237691
Anthony Gill,2237691
James Wiseman,2237691
Garrison Mathews,2230253
Jeremiah Robinson-Earl,2196970
Lindy Waters III,2196970
Dalano Banton,2196970
Sam Merrill,2164993
Duane Washington Jr.,2162607
Luka Garza,2162606
Keon Johnson,2162606
Neemias Queta,2162606
Vit Krejci,2162606
Vince Williams Jr.,2120693
Colby Jones,2120693
Keon Ellis,2120693
A.J. Green,2120693
Sam Hauser,2092344
Jericho Sims,2092344
Jay Huff,2088033
Tyler Kolek,2087519
Scotty Pippen Jr.,2087519
Mo Bamba,2207491
Charles Bassey,2087519
Jordan McLaughlin,2087519
Sandro Mamukelashvili,2087519
Bol Bol,2087519
Monte Morris,2087519
Damion Lee,2087519
Guerschon Yabusele,2087519
Daniel Theis,2087519
Gary Trent Jr.,2087519
Taurean Prince,2087519
Thomas Bryant,2087519
Vlatko Cancar,2087519
Talen Horton-Tucker,2087519
Luke Kornet,2087519
Duop Reath,2048780
Andrew Nembhard,2019699
Jaden Hardy,2019699
Jabari Walker,2019699
Caleb Houstan,2019699
Jaylin Williams,2019699
Josh Minott,2019699
Kennedy Chandler,2019699
Jose Alvarado,1988598
Ricky Council IV,1891857
GG Jackson II,1891857
Jalen Pickett,1891857
Hunter Tyson,1891857
Julian Phillips,1891857
Jordan Walsh,1891857
Sidy Cissoko,1891857
Toumani Camara,1891857
Rayan Rupert,1891857
Leonard Miller,1891857
Chris Livingston,1891857
Andre Jackson Jr.,1891857
Trayce Jackson-Davis,1891857
Gui Santos,1891857
Craig Porter Jr.,1891857
Maxwell Lewis,1891857
Jalen Wilson,1891857
Mouhamed Gueye,1891857
Jonathan Mogbo,1862265
Jamal Shead,1862265
Johnny Furphy,1850842
Pacome Dadiet,1808080
Justin Champagnie,1800000
Javonte Green,2328350
Paul Reed,3913234
Karlo Matkovic,1407153
Landry Shamet,1343690
Bobi Klintman,1257153
Tyler Smith,1157153
Oso Ighodaro,1157153
Jaylen Wells,1157153
Bronny James,1157153
Cam Christie,1157153
Adem Bona,1157153
Antonio Reeves,1157153
Pelle Larsson,1157153
Bruno Fernando,1115128
Ariel Hukporti,1064049
PJ Dozier,1051255
Jordan Miller,1050000
Jamison Battle,1000000
Kevin Porter Jr.,3366937
Joshua Primo,1000000
Orlando Robinson,1691610
Moussa Diabate,957763
Lonnie Walker IV,780932
Torrey Craig,3625162
Ben Simmons,40011909
Jared Butler,745726
Markelle Fultz,731831
Keshad Johnson,724883
E.J. Liddell,706898
Tyrese Martin,635853
Jaden Springer,4772772
Matt Ryan,621439
Ryan Rollins,1091887
Javonte Green,2328350
Brandon Boston Jr.,596581
Juwan Morgan,576229
Malik Fitts,555216
Jeenathan Williams,515881
Jaylen Clark,492323
Dominick Barlow,491887
Orlando Robinson,1691610
Ryan Rollins,1091887
Mamadi Diakite,464050
Quinten Post,438920
Pat Spencer,438810
Justin Edwards,425619
Lamar Stevens,623856
Branden Carlson,496519
Tony Bradley,600545
Moses Brown,426632
Jaylen Nowell,446743
Didi Louzada,268032
Kevin Knox,503883
AJ Griffin,250000
Jordan Goodwin,223718
Jaylen Nowell,446743
Isaac Jones,152957
Tony Bradley,600545
Malevy Leons,126356
Jaden Springer,4772772
Orlando Robinson,1691610
Orlando Robinson,1691610
Lamar Stevens,623856
Lamar Stevens,623856
Tony Bradley,600545
Kevin Knox,503883
Kevin Knox,503883
Chuma Okeke,355687
Chuma Okeke,355687
Cole Swider,227947
Jalen McDaniels,4861772
Jared Rhoden,119972
Eugene Omoruyi,119972
Terry Taylor,119972
Daishen Nix,119972
Oshae Brissett,119972
David Roddy,2967212
Mo Bamba,2207491
Moses Brown,426632
Malachi Flynn,119972
Killian Hayes,119972
Kevon Harris,119972
Chuma Okeke,355687
Drew Timme,113055
Cole Swider,227947
Colin Castleton,421081
Colin Castleton,421081
Colin Castleton,421081
Marcus Garrett,107027
Colin Castleton,421081
Javon Freeman-Liberty,100000
A.J. Lawson,100000
Marcus Bagley,126356
Kylor Kelley,73153
Jaylen Sims,73153
Erik Stevenson,66503
Phillip Wheeler,66503
Yuri Collins,66503
Nae'Qwan Tomlin,66503
Branden Carlson,496519
Branden Carlson,496519
Terence Davis,64301
Marcus Bagley,126356
Brandon Williams,47989
Javante McCoy,47265
Isaiah Mobley,11997
Braxton Key,11997
JD Davison,11997
Kylor Kelley,73153
Jaylen Sims,73153
